var_name,var_label,values_cat,labels_cat,unique_values_n,n_missing,prop_missing,type_var,note,year,survey,dataset,pairs
cf08a025,Do you live together with this partner?,1; 2,yes; no,2.0,1390,0.19549929676512,categorical,,2008.0,Family & Household,PreFer_train_data.csv,cf025
cf09b025,Do you live together with this partner?,1; 2,yes; no,2.0,1229,0.21516106442577,categorical,,2009.0,Family & Household,PreFer_train_data.csv,cf025
cf10c025,Do you live together with this partner?,1; 2,yes; no,2.0,1417,0.232066819521782,categorical,,2010.0,Family & Household,PreFer_train_data.csv,cf025
cf11d025,Do you live together with this partner?,1; 2,yes; no,2.0,1332,0.244897959183673,categorical,,2011.0,Family & Household,PreFer_train_data.csv,cf025
cf12e025,Do you live together with this partner?,1; 2,yes; no,2.0,1435,0.234822451317297,categorical,,2012.0,Family & Household,PreFer_train_data.csv,cf025
cf13f025,Do you live together with this partner?,1; 2,yes; no,2.0,1385,0.237727428767594,categorical,,2013.0,Family & Household,PreFer_train_data.csv,cf025
cf14g025,Do you live together with this partner?,1; 2,yes; no,2.0,1749,0.254844820049541,categorical,,2014.0,Family & Household,PreFer_train_data.csv,cf025
cf15h025,Do you live together with this partner?,1; 2,yes; no,2.0,1601,0.262415997377479,categorical,,2015.0,Family & Household,PreFer_train_data.csv,cf025
cf16i025,Do you live together with this partner?,1; 2,yes; no,2.0,1442,0.260901031300887,categorical,,2016.0,Family & Household,PreFer_train_data.csv,cf025
cf17j025,Do you live together with this partner?,1; 2,yes; no,2.0,1845,0.285957842529448,categorical,,2017.0,Family & Household,PreFer_train_data.csv,cf025
cf18k025,Do you live together with this partner?,1; 2,yes; no,2.0,1611,0.283826638477801,categorical,,2018.0,Family & Household,PreFer_train_data.csv,cf025
cf19l025,Do you live together with this partner?,1; 2,yes; no,2.0,1463,0.277872744539411,categorical,,2019.0,Family & Household,PreFer_train_data.csv,cf025
cf20m025,Do you live together with this partner?,1; 2,yes; no,2.0,1729,0.284562211981567,categorical,,2020.0,Family & Household,PreFer_train_data.csv,cf025
cf08a128,Do you think you will have children in the future?,1; 2; 3,yes; no; I don't know,2.0,4150,0.583684950773558,categorical,,2008.0,Family & Household,PreFer_train_data.csv,cf128
cf09b128,Do you think you will have children in the future?,1; 2; 3,yes; no; I don't know,3.0,2896,0.507002801120448,categorical,,2009.0,Family & Household,PreFer_train_data.csv,cf128
cf10c128,Do you think you will have children in the future?,1; 2; 3,yes; no; I don't know,3.0,3301,0.540615787749754,categorical,,2010.0,Family & Household,PreFer_train_data.csv,cf128
cf11d128,Do you think you will have [more] children in the future?,1; 2; 3,yes; no; I don't know,3.0,3082,0.566648280933995,categorical,,2011.0,Family & Household,PreFer_train_data.csv,cf128
cf12e128,Do you think you will have [more] children in the future?,1; 2; 3,yes; no; I don't know,3.0,3476,0.568810342006218,categorical,,2012.0,Family & Household,PreFer_train_data.csv,cf128
cf13f128,Do you think you will have [more] children in the future?,1; 2; 3,yes; no; I don't know,3.0,3363,0.577239958805355,categorical,,2013.0,Family & Household,PreFer_train_data.csv,cf128
