var_name,var_label,values_cat,labels_cat,unique_values_n,n_missing,prop_missing,type_var,note,year,survey,dataset,pairs
cf08a_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cfm
cf09b_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cfm
cf10c_m,Year and month of field work period,,,1.0,0,0.0,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cfm
cf11d_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2011.0,Family & Household,PreFer_train_data.csv,cfm
cf12e_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2012.0,Family & Household,PreFer_train_data.csv,cfm
cf13f_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2013.0,Family & Household,PreFer_train_data.csv,cfm
cf14g_m,Year and month of field work period,,,2.0,0,0.0,numeric,,2014.0,Family & Household,PreFer_train_data.csv,cfm
cf15h_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2015.0,Family & Household,PreFer_train_data.csv,cfm
cf16i_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2016.0,Family & Household,PreFer_train_data.csv,cfm
cf17j_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2017.0,Family & Household,PreFer_train_data.csv,cfm
cf18k_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2018.0,Family & Household,PreFer_train_data.csv,cfm
cf19l_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2019.0,Family & Household,PreFer_train_data.csv,cfm
cf20m_m,Year and month of fieldwork period,,,2.0,0,0.0,numeric,,2020.0,Family & Household,PreFer_train_data.csv,cfm
cf08a002,Year of birth of randomly chosen child,,,14.0,5168,0.726863572433193,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cf002
cf09b002,Year of birth of randomly chosen child,,,14.0,4257,0.745273109243698,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cf002
cf10c002,Year of birth of randomly chosen child,,,14.0,4717,0.772518833933836,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cf002
cf11d002,Year of birth of randomly chosen child,,,14.0,4284,0.787644787644788,numeric,,2011.0,Family & Household,PreFer_train_data.csv,cf002
cf12e002,Year of birth of randomly chosen child,,,14.0,4795,0.784650630011455,numeric,,2012.0,Family & Household,PreFer_train_data.csv,cf002
cf13f002,Year of birth of randomly chosen child,,,14.0,4561,0.782869893580501,numeric,,2013.0,Family & Household,PreFer_train_data.csv,cf002
cf14g002,Year of birth of randomly chosen child,,,15.0,5411,0.78843071543057,numeric,,2014.0,Family & Household,PreFer_train_data.csv,cf002
cf15h002,Year of birth of randomly selected child,,,14.0,4958,0.81265366333388,numeric,,2015.0,Family & Household,PreFer_train_data.csv,cf002
cf16i002,Year of birth of randomly selected child,,,14.0,4483,0.811109100777999,numeric,,2016.0,Family & Household,PreFer_train_data.csv,cf002
cf17j002,Year of birth of randomly selected child,,,14.0,5264,0.815871047737136,numeric,,2017.0,Family & Household,PreFer_train_data.csv,cf002
cf18k002,Year of birth of randomly selected child,,,14.0,4679,0.824348132487667,numeric,,2018.0,Family & Household,PreFer_train_data.csv,cf002
cf19l002,Year of birth of randomly selected child,,,14.0,4340,0.824311490978158,numeric,,2019.0,Family & Household,PreFer_train_data.csv,cf002
cf20m002,Year of birth of randomly selected child,,,14.0,5059,0.832620144832126,numeric,,2020.0,Family & Household,PreFer_train_data.csv,cf002
cf08a004,Age respondent,,,77.0,65,0.0091420534458509,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cf004
cf09b004,Age respondent,,,76.0,1,0.0001750700280112,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cf004
cf10c004,Age respondent,,,77.0,8,0.0013101867016049,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cf004
cf11d004,Age respondent,,,77.0,10,0.0018385732671447,numeric,,2011.0,Family & Household,PreFer_train_data.csv,cf004
cf12e004,Age respondent,,,77.0,3,0.0004909180166912,numeric,,2012.0,Family & Household,PreFer_train_data.csv,cf004
cf13f004,Age respondent,,,77.0,0,0.0,numeric,,2013.0,Family & Household,PreFer_train_data.csv,cf004
cf14g004,Age respondent,,,78.0,2,0.0002914177473408,numeric,,2014.0,Family & Household,PreFer_train_data.csv,cf004
cf15h004,Age respondent,,,80.0,0,0.0,numeric,,2015.0,Family & Household,PreFer_train_data.csv,cf004
cf16i004,Age respondent,,,80.0,1,0.0001809299800977,numeric,,2016.0,Family & Household,PreFer_train_data.csv,cf004
cf17j004,Age respondent,,,83.0,2,0.0003099814011159,numeric,,2017.0,Family & Household,PreFer_train_data.csv,cf004
cf18k004,Age respondent,,,82.0,1,0.0001761804087385,numeric,,2018.0,Family & Household,PreFer_train_data.csv,cf004
cf19l004,Age respondent,,,82.0,6,0.0011396011396011,numeric,,2019.0,Family & Household,PreFer_train_data.csv,cf004
cf20m004,Preload variable: Age respondent,,,81.0,2,0.0003291639236339,numeric,,2020.0,Family & Household,PreFer_train_data.csv,cf004
cf08a012,In what year did your mother pass away?,,,78.0,4524,0.636286919831224,numeric,"This variable originally had value labels = {c(`I don't know` = 99999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2008.0,Family & Household,PreFer_train_data.csv,cf012
cf09b012,In what year did your mother pass away?,,,34.0,5529,0.96796218487395,numeric,"This variable originally had value labels = {c(`I don't know` = 99999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2009.0,Family & Household,PreFer_train_data.csv,cf012
cf10c012,In what year did your mother pass away?,,,72.0,5453,0.893056010481494,numeric,"This variable originally had value labels = {c(`I don't know` = 99999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2010.0,Family & Household,PreFer_train_data.csv,cf012
cf11d012,In what year did your mother pass away?,,,33.0,5318,0.977753263467549,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2011.0,Family & Household,PreFer_train_data.csv,cf012
cf12e012,In what year did your mother pass away?,,,59.0,5631,0.921453117329406,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2012.0,Family & Household,PreFer_train_data.csv,cf012
cf13f012,In what year did your mother pass away?,,,20.0,5723,0.982320631651219,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2013.0,Family & Household,PreFer_train_data.csv,cf012
cf14g012,In what year did your mother pass away?,,,59.0,6363,0.927145563164797,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2014.0,Family & Household,PreFer_train_data.csv,cf012
cf15h012,In what year did your mother pass away?,,,32.0,5911,0.968857564333716,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2015.0,Family & Household,PreFer_train_data.csv,cf012
cf16i012,In what year did your mother pass away?,,,40.0,5384,0.974127012846029,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2016.0,Family & Household,PreFer_train_data.csv,cf012
cf17j012,In what year did your mother pass away?,,,61.0,5949,0.922039677619343,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2017.0,Family & Household,PreFer_train_data.csv,cf012
cf18k012,In what year did your mother pass away?,,,19.0,5554,0.978505990133897,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2018.0,Family & Household,PreFer_train_data.csv,cf012
cf19l012,In what year did your biological mother pass away?,,,14.0,5168,0.981576448243115,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2019.0,Family & Household,PreFer_train_data.csv,cf012
cf20m012,In what year did your biological mother pass away?,,,60.0,5663,0.932027649769585,numeric,"This variable originally had value labels = {c(`I don't know` = 9999)} but non were observed in the data, and we turned the variable [value_labels] into NULL and [value_labels_n] into 0. All values in the variable were numeric, which is why we turned the variable [type_var] into {numeric}. Please be advised that this variable type for this questionmay vary across waves, if any of the value labels were present in other waves, and the variable would have been assigned with {categorical}. The summary codebook will also flag this issue.",2020.0,Family & Household,PreFer_train_data.csv,cf012
cf08a026,What is his or her year of birth?,,,76.0,1391,0.19563994374121,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cf026
cf09b026,What is his or her year of birth?,,,62.0,5338,0.934523809523809,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cf026
cf10c026,What is his or her year of birth?,,,75.0,5040,0.825417622011137,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cf026
cf11d026,What is his or her year of birth?,,,57.0,5156,0.947968376539805,numeric,,2011.0,Family & Household,PreFer_train_data.csv,cf026
cf12e026,What is his or her year of birth?,,,75.0,5061,0.828178694158076,numeric,,2012.0,Family & Household,PreFer_train_data.csv,cf026
cf13f026,What is his or her year of birth?,,,57.0,5537,0.950394782011672,numeric,,2013.0,Family & Household,PreFer_train_data.csv,cf026
cf14g026,What is his or her year of birth?,,,67.0,5683,0.82806352906892,numeric,,2014.0,Family & Household,PreFer_train_data.csv,cf026
cf15h026,What is his or her year of birth?,,,61.0,5679,0.930831011309621,numeric,,2015.0,Family & Household,PreFer_train_data.csv,cf026
cf16i026,What is his or her year of birth?,,,66.0,5149,0.931608467523069,numeric,,2016.0,Family & Household,PreFer_train_data.csv,cf026
cf17j026,What is his or her year of birth?,,,67.0,5396,0.836329820210787,numeric,,2017.0,Family & Household,PreFer_train_data.csv,cf026
cf18k026,What is his or her year of birth?,,,55.0,5437,0.957892882311487,numeric,,2018.0,Family & Household,PreFer_train_data.csv,cf026
cf19l026,What is his or her year of birth?,,,55.0,5083,0.965432098765432,numeric,,2019.0,Family & Household,PreFer_train_data.csv,cf026
cf20m026,What is his or her year of birth?,,,71.0,5214,0.858130348913759,numeric,,2020.0,Family & Household,PreFer_train_data.csv,cf026
cf08a028,In what year did the relationship with your partner begin?,,,68.0,1391,0.19563994374121,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cf028
cf09b028,In what year did the relationship with your partner begin?,,,54.0,5338,0.934523809523809,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cf028
cf10c028,In what year did the relationship with your partner begin?,,,64.0,5040,0.825417622011137,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cf028
cf11d028,In what year did the relationship with your partner begin?,,,39.0,5156,0.947968376539805,numeric,,2011.0,Family & Household,PreFer_train_data.csv,cf028
cf12e028,In what year did the relationship with your partner begin?,,,64.0,5061,0.828178694158076,numeric,,2012.0,Family & Household,PreFer_train_data.csv,cf028
cf13f028,In what year did the relationship with your partner begin?,,,42.0,5537,0.950394782011672,numeric,,2013.0,Family & Household,PreFer_train_data.csv,cf028
cf14g028,In what year did the relationship with your partner begin?,,,59.0,5684,0.828209237942591,numeric,,2014.0,Family & Household,PreFer_train_data.csv,cf028
cf15h028,In what year did the relationship with your partner begin?,,,45.0,5679,0.930831011309621,numeric,,2015.0,Family & Household,PreFer_train_data.csv,cf028
cf16i028,In what year did the relationship with your partner begin?,,,53.0,5149,0.931608467523069,numeric,,2016.0,Family & Household,PreFer_train_data.csv,cf028
cf17j028,In what year did the relationship with your partner begin?,,,59.0,5397,0.836484810911345,numeric,,2017.0,Family & Household,PreFer_train_data.csv,cf028
cf18k028,In what year did the relationship with your partner begin?,,,34.0,5437,0.957892882311487,numeric,,2018.0,Family & Household,PreFer_train_data.csv,cf028
cf19l028,In what year did the relationship with your partner begin?,,,29.0,5083,0.965432098765432,numeric,,2019.0,Family & Household,PreFer_train_data.csv,cf028
cf20m028,In what year did the relationship with your partner begin?,,,58.0,5214,0.858130348913759,numeric,,2020.0,Family & Household,PreFer_train_data.csv,cf028
cf08a029,In what year did you start living together with your partner?,,,65.0,1936,0.272292545710267,numeric,,2008.0,Family & Household,PreFer_train_data.csv,cf029
cf09b029,In what year did you start living together with your partner?,,,66.0,1682,0.294467787114846,numeric,,2009.0,Family & Household,PreFer_train_data.csv,cf029
cf10c029,In what year did you start living together with your partner?,,,66.0,1911,0.312970848345889,numeric,,2010.0,Family & Household,PreFer_train_data.csv,cf029
